Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.96,55.8,394168372.4,2617156.8,55.804
2,UNKNOWN_4,2.26,0.01,2106.3,584.7,0.012
3,UNKNOWN,4.91,0,990.6,179.4,0.004
4,UNKNOWN_6,5.89,0.01,5183.9,519.3,0.011
5,UNKNOWN,6.14,0,835.7,71,0.002
32,UNKNOWN,6.3,0,208.6,11.6,0
6,UNKNOWN,6.56,0.06,44824.5,2935.1,0.063
33,UNKNOWN,6.72,0,4094.7,207,0.004
7,UNKNOWN,6.85,0.01,10779.6,492.4,0.01
34,UNKNOWN_7,6.94,0.02,17575.5,880.7,0.019
8,UNKNOWN_8,7.05,3.36,1184025.8,157356.2,3.355
51,UNKNOWN,7.39,0.22,145176.9,10486.1,0.224
9,UNKNOWN,7.43,0.02,75412.7,991.1,0.021
10,UNKNOWN,7.47,0.05,91391.5,2162.7,0.046
35,UNKNOWN,7.5,0.89,511590.4,41814.5,0.892
11,UNKNOWN_9,7.71,0.83,521939.2,38719.5,0.826
47,UNKNOWN,7.75,0.12,568033.7,5748.7,0.123
12,UNKNOWN,7.78,1.67,2701187.5,78350.8,1.671
45,UNKNOWN_10,7.82,1.57,2833290.3,73607.2,1.569
46,UNKNOWN_11,8.07,32.11,4641008.8,1506058.9,32.112
48,UNKNOWN_12,8.33,1.01,574354.4,47470.6,1.012
13,UNKNOWN,8.6,0.51,315964.2,24140.3,0.515
14,UNKNOWN,8.79,0.03,32266.7,1591.9,0.034
36,UNKNOWN,8.88,0,4235,169.7,0.004
15,UNKNOWN,8.95,0.01,5319.5,315.1,0.007
37,UNKNOWN,9,0.01,12367.5,606.3,0.013
16,UNKNOWN,9.11,0,3224,194.6,0.004
38,UNKNOWN,9.18,0.01,4660,324.5,0.007
52,UNKNOWN,9.24,0.01,4768.6,258.7,0.006
17,UNKNOWN_13,9.37,0.09,90657.6,4374.4,0.093
49,UNKNOWN,9.4,0.23,139621.4,10968,0.234
18,UNKNOWN_1,9.58,0.02,15240.2,767.1,0.016
53,UNKNOWN,9.62,0.03,15749.9,1413.4,0.03
39,UNKNOWN,9.73,0.01,4851.1,247.6,0.005
19,UNKNOWN,9.81,0.01,4547.9,373.6,0.008
20,UNKNOWN,9.93,0.02,10812,711.7,0.015
21,UNKNOWN,10.08,0.02,9443.2,983.6,0.021
40,UNKNOWN,10.13,0.03,14615.5,1418.6,0.03
22,UNKNOWN,10.56,0.05,16794.6,2362.8,0.05
23,UNKNOWN_14,10.71,0.03,31072.6,1592.8,0.034
41,UNKNOWN,10.75,0.02,35247.6,849.6,0.018
42,UNKNOWN,10.85,0.13,66074.5,5941.2,0.127
50,UNKNOWN,10.89,0.39,119601.2,18164.5,0.387
24,UNKNOWN,11.31,0.07,25159.1,3272.6,0.07
43,UNKNOWN,11.45,0.01,18081.6,625.4,0.013
25,UNKNOWN,11.5,0.02,24584.1,888.8,0.019
44,UNKNOWN,11.54,0.2,44099.9,9331.2,0.199
26,UNKNOWN,12.12,0.11,20092.2,4964.6,0.106
27,UNKNOWN,12.48,0.05,14980.6,2427.8,0.052
28,UNKNOWN,12.7,0.04,8684.4,1885.5,0.04
29,UNKNOWN,13.13,0.02,4342.4,889.5,0.019
30,UNKNOWN,13.43,0.02,4221.3,914.3,0.019
31,UNKNOWN,14,0.03,3979.1,1177,0.025
,,,,,,
Total,-,-,100,409227742.6,4689950.7,100
