Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Time.1,Quantity.1,Height.1,Area.1,Area %.1,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2378179.9,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2378179.9
24,UNKNOWN,11.74,0.07,16780.7,2982.6,0.071,,,,,11.74,0.07,16780.7,2982.6,0.071,,,
25,UNKNOWN,12.2,0.1,17720.5,4161.4,0.099,,,,,12.2,0.1,17720.5,4161.4,0.099,,,
26,UNKNOWN,12.58,0.06,11970.8,2703.7,0.064,,,,,12.58,0.06,11970.8,2703.7,0.064,,,
27,UNKNOWN,13.09,0.01,2702.1,426.7,0.01,,,,,13.09,0.01,2702.1,426.7,0.01,,,
28,UNKNOWN,13.23,0.02,3626.3,706.1,0.017,,,,,13.23,0.02,3626.3,706.1,0.017,,,
29,UNKNOWN,13.54,0.02,3318.8,657.4,0.016,,,,,13.54,0.02,3318.8,657.4,0.016,,,
30,UNKNOWN,14.06,0.02,2845.6,768.7,0.018,,,,,14.06,0.02,2845.6,768.7,0.018,,,
31,UNKNOWN,14.34,0.01,1176.4,213.6,0.005,,,,,14.34,0.01,1176.4,213.6,0.005,,,
,,,,,,,,,,,,,,,,,,
Total,-,-,100,340221514.2,4194852.6,100,,,,,-,100,340221514.2,4194852.6,100,,,
