Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.98,76.9,486285800.8,3429470.7,76.897
2,UNKNOWN_4,2.29,0.01,1730.2,445.5,0.01
3,UNKNOWN_6,5.92,0.01,3367.6,325,0.007
4,UNKNOWN,6.14,0,1067.4,85.1,0.002
5,UNKNOWN,6.59,0.03,25017.3,1457.9,0.033
6,UNKNOWN,6.74,0,2421.5,128.9,0.003
7,UNKNOWN_7,6.86,0.01,10529.9,501.9,0.011
8,UNKNOWN_8,6.96,0.01,10264.6,518.1,0.012
9,UNKNOWN,7.1,1.86,725780.2,82997.5,1.861
32,UNKNOWN,7.4,0.01,23977.2,584.7,0.013
33,UNKNOWN,7.44,0.01,10802.9,331.2,0.007
10,UNKNOWN,7.49,1.94,595167.8,86734,1.945
11,UNKNOWN,7.79,1.87,2743851.5,83252.4,1.867
49,UNKNOWN_10,7.83,1.51,2960128.6,67453.6,1.512
50,UNKNOWN,7.86,13.78,3522958.2,614371.8,13.776
12,UNKNOWN_11,8.2,0.98,649381.9,43848.8,0.983
34,UNKNOWN_12,8.37,0.02,21396.2,854.1,0.019
13,UNKNOWN,8.45,0,5019.7,138,0.003
35,UNKNOWN,8.48,0,4699.7,150.5,0.003
36,UNKNOWN,8.53,0.27,165187.3,11850.6,0.266
14,UNKNOWN,8.73,0.02,20610.8,707.8,0.016
37,UNKNOWN,8.83,0,2898.2,132.4,0.003
15,UNKNOWN,8.91,0,3798.4,151.7,0.003
38,UNKNOWN,8.96,0.01,7660.3,292.1,0.007
16,UNKNOWN,9.08,0,1869.6,119.4,0.003
39,UNKNOWN,9.14,0,2335,153.7,0.003
40,UNKNOWN,9.2,0,2714.3,133,0.003
17,UNKNOWN_13,9.34,0.02,22442.8,970.1,0.022
44,UNKNOWN,9.38,0.01,24305.9,288,0.006
45,UNKNOWN,9.4,0.14,96956.8,6077.2,0.136
18,UNKNOWN_1,9.58,0.01,9208.4,413.9,0.009
41,UNKNOWN,9.62,0.02,10543.5,953.3,0.021
19,UNKNOWN,9.85,0.01,4012.7,233,0.005
42,UNKNOWN,9.92,0.01,6603.2,517.3,0.012
20,UNKNOWN,10.08,0.01,9040.3,500.4,0.011
43,UNKNOWN,10.12,0.02,10551.7,886.8,0.02
21,UNKNOWN,10.55,0.03,10300.8,1464.7,0.033
22,UNKNOWN_14,10.76,0.03,17046.1,1400,0.031
23,UNKNOWN,10.87,0.05,27402.9,2398.6,0.054
46,UNKNOWN,10.98,0.05,24356.5,2065,0.046
24,UNKNOWN,11.08,0.1,31591.6,4563.6,0.102
25,UNKNOWN,11.39,0.05,14726.1,2403.1,0.054
26,UNKNOWN,11.74,0.06,14966.2,2609.7,0.059
27,UNKNOWN,12.14,0.01,4868.9,465.6,0.01
47,UNKNOWN,12.24,0.04,11432.7,1926.7,0.043
28,UNKNOWN,12.62,0.02,6847.9,1004.4,0.023
48,UNKNOWN,12.8,0.01,2248.3,549.5,0.012
29,UNKNOWN,13.24,0.01,1918.6,335.8,0.008
30,UNKNOWN,13.58,0.01,1586.7,264.3,0.006
31,UNKNOWN,14.12,0.01,1447.5,331.6,0.007
,,,,,,
Total,-,-,100,498174843,4459812.7,100
