Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.98,55.83,363175114.4,2383231,55.826
2,UNKNOWN_4,2.22,0.02,2270.9,640.7,0.015
3,UNKNOWN,4.88,0,850.1,162.6,0.004
4,UNKNOWN,5.75,0,190.5,13,0
32,UNKNOWN_6,5.89,0.01,4733.8,475.9,0.011
5,UNKNOWN,6.14,0,628.4,52.4,0.001
6,UNKNOWN,6.3,0,151.3,6.9,0
51,UNKNOWN,6.35,0,12.6,0,0
7,UNKNOWN,6.42,0,236.5,12.7,0
8,UNKNOWN,6.57,0.06,40206.5,2652.8,0.062
9,UNKNOWN,6.73,0,3810.1,197.3,0.005
10,UNKNOWN,6.86,0.01,11033.8,525,0.012
33,UNKNOWN_7,6.95,0.02,15761.5,784.4,0.018
35,UNKNOWN_8,7.03,0,1201.2,1.4,0
37,UNKNOWN,7.05,3.64,1215498.9,155391,3.64
36,UNKNOWN,7.41,0.02,30928.4,773.5,0.018
38,UNKNOWN,7.44,0.02,22394.3,653.6,0.015
34,UNKNOWN,7.47,0,14099.5,187.9,0.004
11,UNKNOWN,7.5,1.33,540695.5,56656.1,1.327
12,UNKNOWN_9,7.72,0.38,363664.3,16135.5,0.378
52,UNKNOWN,7.76,0.07,372874.8,3078,0.072
53,UNKNOWN,7.8,1.85,2752693.4,79088.3,1.853
54,UNKNOWN_10,7.83,1.65,2929423.3,70518.9,1.652
55,UNKNOWN_11,8.05,32.31,4372439.4,1379376,32.311
13,UNKNOWN_12,8.32,1.16,608864.1,49452.5,1.158
14,UNKNOWN,8.58,0.53,298869.8,22725.1,0.532
15,UNKNOWN,8.79,0.03,33421.9,1400.4,0.033
39,UNKNOWN,8.88,0,3596.4,192.2,0.005
16,UNKNOWN,8.96,0,5062.5,196.4,0.005
40,UNKNOWN,9.01,0.01,12594,503,0.012
17,UNKNOWN,9.11,0,2210.1,149.9,0.004
41,UNKNOWN,9.18,0,3508.3,201.6,0.005
42,UNKNOWN,9.25,0,3704.1,199.4,0.005
18,UNKNOWN_13,9.34,0.01,10409.6,446.5,0.01
43,UNKNOWN,9.42,0.26,130836.7,11282.6,0.264
19,UNKNOWN_1,9.64,0.05,15233.8,1965.9,0.046
20,UNKNOWN,9.84,0.01,3243.6,214.7,0.005
46,UNKNOWN,9.95,0.01,9504.7,505,0.012
44,UNKNOWN,10.06,0.02,10084.1,1015,0.024
45,UNKNOWN,10.16,0.03,13612.9,1106.7,0.026
21,UNKNOWN,10.57,0.05,16617.3,2330.6,0.055
22,UNKNOWN_14,10.76,0.05,20059.9,1927.6,0.045
23,UNKNOWN,10.86,0.02,18890.7,788.5,0.018
47,UNKNOWN,10.99,0.22,38226.1,9415.9,0.221
48,UNKNOWN,11.36,0.01,4933.6,322.9,0.008
24,UNKNOWN,11.46,0.04,9600.1,1740.4,0.041
25,UNKNOWN,11.77,0.05,12681,1966.5,0.046
26,UNKNOWN,12.2,0.1,17938.9,4058.4,0.095
27,UNKNOWN,12.52,0,2488.6,90.9,0.002
49,UNKNOWN,12.58,0.05,12018.1,2326.7,0.055
28,UNKNOWN,13.09,0.01,2125.5,334.3,0.008
29,UNKNOWN,13.23,0.01,3091.7,530.6,0.012
30,UNKNOWN,13.55,0.01,2849.7,472.4,0.011
31,UNKNOWN,13.95,0,1068.7,95.6,0.002
50,UNKNOWN,14.11,0.01,2833.5,441.1,0.01
,,,,,,
Total,-,-,100,377201093.2,4269014.2,100
