Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,96.07,457111740.8,3075616,96.071
2,UNKNOWN_6,5.88,0.01,2103.7,232,0.007
3,UNKNOWN,6.08,0.01,3839.2,327.5,0.01
24,UNKNOWN,6.35,0,339.3,26.7,0.001
4,UNKNOWN,6.63,0,1594.5,80.4,0.003
5,UNKNOWN,6.72,0,657.7,44.4,0.001
6,UNKNOWN_7,6.9,0,489,16.9,0.001
25,UNKNOWN_8,6.96,0,2120.6,82.1,0.003
26,UNKNOWN,7.08,0,170.6,9.4,0
27,UNKNOWN,7.15,0,187.9,9.8,0
7,UNKNOWN,7.22,0.14,95486.8,4458.3,0.139
28,UNKNOWN,7.33,0,3826.7,132.1,0.004
8,UNKNOWN,7.44,2.27,834162,72826.1,2.275
29,UNKNOWN_9,7.7,0,1069.4,38.1,0.001
9,UNKNOWN,7.78,0,829.1,39.9,0.001
30,UNKNOWN_10,7.84,0.67,371327.8,21585.1,0.674
10,UNKNOWN_11,7.96,0.53,318911.9,16814.2,0.525
11,UNKNOWN,8.17,0.1,94010.2,3057.3,0.095
12,UNKNOWN,8.31,0,1421.4,103.9,0.003
13,UNKNOWN_12,8.42,0,757.5,27.1,0.001
31,UNKNOWN,8.47,0,1741.3,59.8,0.002
32,UNKNOWN,8.51,0.01,10877.9,206.5,0.006
33,UNKNOWN,8.53,0.01,12257.1,427.1,0.013
14,UNKNOWN,8.68,0,1243.1,43.1,0.001
34,UNKNOWN,8.85,0,207.3,6.2,0
35,UNKNOWN,8.91,0,351.5,8.5,0
15,UNKNOWN_13,9.32,0.01,6932.6,319.9,0.01
36,UNKNOWN,9.41,0.02,11030.1,599.4,0.019
16,UNKNOWN_1,9.55,0,901.3,41.4,0.001
37,UNKNOWN,9.6,0,988.8,79.4,0.002
38,UNKNOWN,9.88,0,364.8,18.5,0.001
17,UNKNOWN,10.07,0.01,3605.4,294.2,0.009
18,UNKNOWN_14,10.79,0,1435.9,101.3,0.003
19,UNKNOWN,10.91,0.03,9640.4,1074.5,0.034
20,UNKNOWN,11.17,0.03,7694.2,833.6,0.026
39,UNKNOWN,11.33,0.01,2676.3,231.8,0.007
21,UNKNOWN,11.43,0.03,6508.2,874.9,0.027
22,UNKNOWN,11.82,0.02,3598.5,518.6,0.016
23,UNKNOWN,12.36,0,921.9,118.4,0.004
,,,,,,
Total,-,-,100,458928022.9,3201384.4,100
