Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),1882359.4
1,UNKNOWN_2,0.96,45.59,269139544,1882359.4,45.587,,Area SI (µV.Min),65221.8
2,UNKNOWN_4,2.26,0.02,2534.1,767.8,0.019,,Peso SI (mg),103.8
3,UNKNOWN,4.92,0.01,1407.1,423.7,0.01,,Volumen total SI (mL),10.0
4,UNKNOWN,5.78,0,383.1,34.3,0.001,,Conc SI (mg/ml),10.379999999999999
33,UNKNOWN_6,5.9,0.01,5944.8,600.8,0.015,,Vol SI alicuota (mL),1.0
5,UNKNOWN,6.16,0,792.3,76.5,0.002,,Peso muestra (mg),259.5
6,UNKNOWN,6.31,0,277.3,16.5,0,,Area FAMES,2181547.3000000003
7,UNKNOWN,6.43,0,494.3,31.5,0.001,,% FAMEs,1.3379252335875427
8,UNKNOWN,6.57,0.08,46505.3,3301.1,0.08,,R,0.7220567754334782
34,UNKNOWN,6.73,0.01,4865.4,259.6,0.006,,,0.9660579799353042
9,UNKNOWN,6.85,0.01,11678,595.6,0.014,,,
35,UNKNOWN_7,6.95,0.02,17730.9,962.3,0.023,,,
10,UNKNOWN_8,7.04,4.46,1233653.3,184258,4.462,,,
11,UNKNOWN,7.48,0.06,88368.4,2288.8,0.055,,,
49,UNKNOWN,7.51,1.12,444760.2,46198.7,1.119,,,
12,UNKNOWN_9,7.71,0.58,474873.8,23909.8,0.579,,,
44,UNKNOWN,7.75,0.1,529906.4,4268.5,0.103,,,
45,UNKNOWN,7.78,2.05,2750223.2,84760.3,2.053,,,
42,UNKNOWN_10,7.82,1.68,2929892.1,69376.2,1.68,,,
43,UNKNOWN_11,8.07,40.89,4761698.6,1688316.6,40.888,,,
46,UNKNOWN_12,8.35,1.22,598492.7,50196.5,1.216,,,
13,UNKNOWN,8.59,0.03,151227.8,1441.8,0.035,,,
47,UNKNOWN,8.6,0.12,324698.1,4895.2,0.119,,,
50,UNKNOWN,8.62,0.5,325997.6,20639.7,0.5,,,
14,UNKNOWN,8.8,0.04,38667.3,1770.3,0.043,,,
36,UNKNOWN,8.9,0.01,4793.1,228.7,0.006,,,
15,UNKNOWN,8.98,0.01,6152.6,310.2,0.008,,,
39,UNKNOWN,9.02,0.02,14023.3,674,0.016,,,
16,UNKNOWN,9.13,0.01,3235.6,209.3,0.005,,,
37,UNKNOWN,9.19,0.01,4905.1,325.1,0.008,,,
38,UNKNOWN_13,9.26,0.01,5226.3,296.4,0.007,,,
17,UNKNOWN,9.39,0.05,78599.2,2122.5,0.051,,,
48,UNKNOWN,9.42,0.29,144409.8,11801.1,0.286,,,
18,UNKNOWN_1,9.65,0.06,17394.9,2496.2,0.06,,,
40,UNKNOWN,9.83,0.01,4593.3,382.8,0.009,,,
19,UNKNOWN,9.96,0.02,12044.1,790.7,0.019,,,
20,UNKNOWN,10.15,0.06,16123.6,2647.7,0.064,,,
21,UNKNOWN,10.56,0.07,20085.9,3058.1,0.074,,,
22,UNKNOWN_14,10.77,0.06,25131.4,2353.3,0.057,,,
23,UNKNOWN,10.97,0.15,42324,6044.9,0.146,,,
24,UNKNOWN,11.07,0.19,47042,7862.4,0.19,,,
25,UNKNOWN,11.47,0.04,11517.7,1759.9,0.043,,,
26,UNKNOWN,11.73,0.08,19139.3,3355.9,0.081,,,
27,UNKNOWN,12.17,0.12,20482.1,4984.5,0.121,,,
28,UNKNOWN,12.5,0,3793.3,126.8,0.003,,,
41,UNKNOWN,12.55,0.07,13752.7,3042.3,0.074,,,
29,UNKNOWN,13.07,0.01,2839.6,435.6,0.011,,,
30,UNKNOWN,13.21,0.02,3856.5,728.9,0.018,,,
31,UNKNOWN,13.52,0.01,3525.4,590.2,0.014,,,
32,UNKNOWN,14.09,0.02,2754.7,751.6,0.018,,,
,,,,,,,,,
Total,-,-,100,284412361.6,4129128.5,100,,,
