Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2687147.7
1,UNKNOWN_2,0.97,58.96,404397550.4,2687147.7,58.961,,Area SI (µV.Min),65763.3
2,UNKNOWN_4,2.3,0.01,2051.6,532.5,0.012,,Peso SI (mg),103.8
3,UNKNOWN,4.94,0,1025.3,184.2,0.004,,Volumen total SI (mL),10.0
4,UNKNOWN,5.79,0,235.5,17.4,0,,Conc SI (mg/ml),10.379999999999999
37,UNKNOWN_6,5.92,0.01,4928.2,477.2,0.01,,Vol SI alicuota (mL),1.0
5,UNKNOWN,6.17,0,678.8,60.5,0.001,,Peso muestra (mg),244.4
38,UNKNOWN,6.32,0,242.5,14.5,0,,Area FAMES,1804615.4999999998
6,UNKNOWN,6.44,0,338.7,20.7,0,,% FAMEs,1.1654596367073666
39,UNKNOWN,6.58,0.06,40182.7,2690.3,0.059,,R,0.7280516075892487
7,UNKNOWN,6.74,0,3982.4,208.3,0.005,,,0.8485147620851801
8,UNKNOWN,6.84,0,782.1,17.3,0,,,
40,UNKNOWN_7,6.86,0.01,11142.4,532.5,0.012,,,
9,UNKNOWN_8,6.96,0.02,15818.7,806.5,0.018,,,
10,UNKNOWN,7.06,3.41,1103736.3,155216.6,3.406,,,
11,UNKNOWN,7.48,0.02,45070.5,833,0.018,,,
49,UNKNOWN,7.51,1.06,470204.5,48261.9,1.059,,,
12,UNKNOWN_9,7.71,0.56,466407.2,25491.1,0.559,,,
47,UNKNOWN,7.75,0.08,464631,3712.4,0.081,,,
13,UNKNOWN,7.79,1.87,2732319.1,85305.6,1.872,,,
45,UNKNOWN_10,7.82,1.5,2884024.1,68436.9,1.502,,,
46,UNKNOWN_11,8.04,29.64,4360823.5,1350859,29.64,,,
50,UNKNOWN,8.29,0.07,308123.8,3332.9,0.073,,,
14,UNKNOWN_12,8.31,1.05,582248.3,47891.8,1.051,,,
15,UNKNOWN,8.56,0.03,126374.6,1460.5,0.032,,,
48,UNKNOWN,8.58,0.09,284112.9,3982.5,0.087,,,
51,UNKNOWN,8.59,0.37,277548.2,16775.3,0.368,,,
16,UNKNOWN,8.79,0.03,33193.7,1466.3,0.032,,,
41,UNKNOWN,8.88,0.01,4422.4,231.5,0.005,,,
17,UNKNOWN,8.96,0.01,5704,257.6,0.006,,,
42,UNKNOWN,9.01,0.01,12923.4,545.6,0.012,,,
18,UNKNOWN,9.11,0,3147.9,223.2,0.005,,,
43,UNKNOWN,9.18,0.01,4402.1,270.6,0.006,,,
44,UNKNOWN_13,9.24,0.01,4887.8,281.8,0.006,,,
19,UNKNOWN,9.41,0.26,128189.3,11695.9,0.257,,,
20,UNKNOWN_1,9.64,0.05,15962.6,2243.8,0.049,,,
21,UNKNOWN,9.84,0.01,4135.9,321.2,0.007,,,
22,UNKNOWN,9.95,0.02,10373.5,704.9,0.015,,,
23,UNKNOWN,10.15,0.05,15210.4,2349.4,0.052,,,
24,UNKNOWN,10.57,0.06,16707.8,2572.5,0.056,,,
25,UNKNOWN_14,10.77,0.05,22586.3,2343.6,0.051,,,
26,UNKNOWN,10.98,0.12,37694.8,5292,0.116,,,
27,UNKNOWN,11.06,0.16,43693.2,7065,0.155,,,
28,UNKNOWN,11.46,0.04,12071.7,1929.1,0.042,,,
29,UNKNOWN,11.74,0.07,17965.7,3215.3,0.071,,,
30,UNKNOWN,12.19,0.1,18013.7,4337.6,0.095,,,
31,UNKNOWN,12.57,0.06,12274,2847.9,0.062,,,
32,UNKNOWN,13.09,0.01,2848.4,448.1,0.01,,,
33,UNKNOWN,13.23,0.02,3872.2,756.2,0.017,,,
34,UNKNOWN,13.54,0.02,3479.8,744.3,0.016,,,
35,UNKNOWN,14.12,0.02,3012,853.1,0.019,,,
36,UNKNOWN,14.34,0.01,1267.1,261.1,0.006,,,
,,,,,,,,,
Total,-,-,100,419022623.3,4557526.5,100,,,
