Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Time.1,Quantity.1,Height.1,Area.1,Area %.1,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),3535901.2,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),17316.9
1,UNKNOWN_2,0.96,92.37,482960253.4,3535901.2,92.367,,Area SI (µV.Min),117298.7,,0.96,92.37,482960253.4,3535901.2,92.367,,Area SI (µV.Min),99981.8
44,UNKNOWN,5.54,0,471,7.6,0,,Peso SI (mg),103.8,,5.54,0,471,7.6,0,,Peso SI (mg),103.8
2,UNKNOWN_6,5.89,0.01,3047.2,361.5,0.009,,Volumen heptano (mL),10.0,,5.89,0.01,3047.2,361.5,0.009,,Conc SI (mg/ml),10.379999999999999
3,UNKNOWN,6.08,0.01,5136.9,485.5,0.013,,Conc SI (mg/ml),10.379999999999999,,6.08,0.01,5136.9,485.5,0.013,,Peso muestra (mg),199.4
4,UNKNOWN,6.36,0,757.6,61.3,0.002,,Vol SI alicuota (mL),1.0,,6.36,0,757.6,61.3,0.002,,Area FAMES,171333.89999999997
5,UNKNOWN,6.54,0,1778.3,82.7,0.002,,Peso muestra (mg),199.4,,6.54,0,1778.3,82.7,0.002,,% FAMEs,0.08920609920112779
30,UNKNOWN,6.63,0.01,5901.9,294.5,0.008,,Area FAMES,174909.5999999998,,6.63,0.01,5901.9,294.5,0.008,,,
31,UNKNOWN,6.73,0,1012.5,64,0.002,,% FAMEs,0.07762339745310465,,6.73,0,1012.5,64,0.002,,,
6,UNKNOWN_7,6.85,0.02,14395.8,735.4,0.019,,R,1.2985891386704895,,6.85,0.02,14395.8,735.4,0.019,,,
32,UNKNOWN_8,6.97,0.01,4331.5,214.9,0.006,,,0.10080090083930424,,6.97,0.01,4331.5,214.9,0.006,,,
54,UNKNOWN,7.07,0,308.2,12.9,0,,,,,7.07,0,308.2,12.9,0,,,
7,UNKNOWN,7.19,0.48,238783.9,18534.1,0.484,,,,,7.19,0.48,238783.9,18534.1,0.484,,,
8,UNKNOWN,7.4,0,2595.3,38.3,0.001,,,,,7.4,0,2595.3,38.3,0.001,,,
47,UNKNOWN,7.43,2.61,1041017.5,99981.8,2.612,,,,,7.43,2.61,1041017.5,99981.8,2.612,,,
9,UNKNOWN_9,7.74,0,2783.4,48.4,0.001,,,,,7.74,0,2783.4,48.4,0.001,,,
55,UNKNOWN,7.8,1.2,1037452.8,46118.4,1.205,,,,,7.8,1.2,1037452.8,46118.4,1.205,,,
45,UNKNOWN_10,7.85,0.9,752464.1,34387.8,0.898,,,,,7.85,0.9,752464.1,34387.8,0.898,,,
46,UNKNOWN,7.92,0.02,149806.5,879.6,0.023,,,,,7.92,0.02,149806.5,879.6,0.023,,,
10,UNKNOWN,7.93,1.3,681206.6,49636.4,1.297,,,,,7.93,1.3,681206.6,49636.4,1.297,,,
11,UNKNOWN_11,8.16,0.19,172236.1,7386.2,0.193,,,,,8.16,0.19,172236.1,7386.2,0.193,,,
33,UNKNOWN,8.31,0.01,3897.5,242.1,0.006,,,,,8.31,0.01,3897.5,242.1,0.006,,,
12,UNKNOWN,8.38,0,1445.5,40.8,0.001,,,,,8.38,0,1445.5,40.8,0.001,,,
48,UNKNOWN_12,8.42,0,2591.8,99.2,0.003,,,,,8.42,0,2591.8,99.2,0.003,,,
34,UNKNOWN,8.49,0.06,42241.7,2464.4,0.064,,,,,8.49,0.06,42241.7,2464.4,0.064,,,
13,UNKNOWN,8.68,0,3539.9,116.7,0.003,,,,,8.68,0,3539.9,116.7,0.003,,,
35,UNKNOWN,8.77,0,595.5,31.3,0.001,,,,,8.77,0,595.5,31.3,0.001,,,
14,UNKNOWN,8.86,0,2524.1,82.5,0.002,,,,,8.86,0,2524.1,82.5,0.002,,,
36,UNKNOWN,8.91,0,1794.9,63.4,0.002,,,,,8.91,0,1794.9,63.4,0.002,,,
37,UNKNOWN,9,0,212.9,11.1,0,,,,,9,0,212.9,11.1,0,,,
15,UNKNOWN,9.06,0,1731.8,76.9,0.002,,,,,9.06,0,1731.8,76.9,0.002,,,
38,UNKNOWN,9.16,0,335.4,14.5,0,,,,,9.16,0,335.4,14.5,0,,,
16,UNKNOWN_13,9.29,0.03,22738.8,1067.3,0.028,,,,,9.29,0.03,22738.8,1067.3,0.028,,,
49,UNKNOWN,9.37,0.09,54471.8,3330.3,0.087,,,,,9.37,0.09,54471.8,3330.3,0.087,,,
17,UNKNOWN_1,9.52,0.01,7407.2,329,0.009,,,,,9.52,0.01,7407.2,329,0.009,,,
50,UNKNOWN,9.57,0.02,7062.1,605.7,0.016,,,,,9.57,0.02,7062.1,605.7,0.016,,,
18,UNKNOWN,9.88,0.01,2386.5,222.9,0.006,,,,,9.88,0.01,2386.5,222.9,0.006,,,
19,UNKNOWN,10.05,0.02,6436.6,600.2,0.016,,,,,10.05,0.02,6436.6,600.2,0.016,,,
39,UNKNOWN,10.32,0,1367.8,61.4,0.002,,,,,10.32,0,1367.8,61.4,0.002,,,
20,UNKNOWN,10.52,0.01,1891.4,277.7,0.007,,,,,10.52,0.01,1891.4,277.7,0.007,,,
21,UNKNOWN_14,10.73,0.01,10281.2,454.9,0.012,,,,,10.73,0.01,10281.2,454.9,0.012,,,
51,UNKNOWN,10.78,0,7058.7,133.4,0.003,,,,,10.78,0,7058.7,133.4,0.003,,,
40,UNKNOWN,10.85,0.07,30226.6,2866,0.075,,,,,10.85,0.07,30226.6,2866,0.075,,,
22,UNKNOWN,10.96,0.23,50417.1,8747.7,0.229,,,,,10.96,0.23,50417.1,8747.7,0.229,,,
23,UNKNOWN,11.31,0.07,17695.6,2593,0.068,,,,,11.31,0.07,17695.6,2593,0.068,,,
52,UNKNOWN,11.51,0.01,7373.9,347.5,0.009,,,,,11.51,0.01,7373.9,347.5,0.009,,,
24,UNKNOWN,11.58,0.01,10523,340.7,0.009,,,,,11.58,0.01,10523,340.7,0.009,,,
53,UNKNOWN,11.61,0.14,27162.7,5288,0.138,,,,,11.61,0.14,27162.7,5288,0.138,,,
25,UNKNOWN,12.09,0.01,2709.6,374.3,0.01,,,,,12.09,0.01,2709.6,374.3,0.01,,,
26,UNKNOWN,12.29,0.02,3721.3,730.5,0.019,,,,,12.29,0.02,3721.3,730.5,0.019,,,
27,UNKNOWN,12.58,0,1427.1,156.4,0.004,,,,,12.58,0,1427.1,156.4,0.004,,,
43,UNKNOWN,12.68,0,1530.9,122.4,0.003,,,,,12.68,0,1530.9,122.4,0.003,,,
28,UNKNOWN,12.77,0.02,3712.9,622.5,0.016,,,,,12.77,0.02,3712.9,622.5,0.016,,,
41,UNKNOWN,13.21,0,733.7,108.3,0.003,,,,,13.21,0,733.7,108.3,0.003,,,
42,UNKNOWN,13.32,0,1051.7,105.3,0.003,,,,,13.32,0,1051.7,105.3,0.003,,,
29,UNKNOWN,14.12,0,970,148.8,0.004,,,,,14.12,0,970,148.8,0.004,,,
,,,,,,,,,,,,,,,,,,
